,age,sex,has_pets,is_parent,relation,is_driver,tr_per_month,median_tr,mean_tr
10594,58.0,2,0,0,0,0,2.0,8200.0,8200.0
26860,36.0,1,0,1,4,0,2.5181587230215827,989.0,1185.7765217391304
26847,46.0,2,0,0,0,0,15.969122757847536,761.0,2718.670769230769
13076,44.0,2,0,1,0,0,96.3675352664577,447.0,1140.626430693069
1302,53.0,1,0,0,0,0,17.156269100169776,866.5,2482.4031927710844
23193,41.0,2,0,0,0,0,0.961670616113744,88.0,5234.203
26271,55.0,1,0,1,1,0,18.588963926174497,600.0,2365.572857142857
8257,32.0,2,1,0,0,0,52.58149901574804,238.0,620.4757247037375
16952,58.0,2,1,0,0,0,21.857031496062994,526.5,1425.220394736842
18941,45.0,2,0,1,0,0,43.17456406739812,161.0,580.047591160221
4389,64.0,1,0,0,1,0,4.980579545454545,3000.0,8797.677777777779
28596,23.0,2,0,0,0,0,48.2314743338558,212.0,665.9001285855588
29913,32.0,1,0,1,0,0,1.9122643979057592,2173.55,4979.669166666667
27253,22.0,2,0,0,0,0,2.877117537313433,192.0,516.111052631579
22792,63.0,1,0,0,0,0,10.837372159090908,398.04,3728.580992907801
13093,35.0,2,0,1,0,0,2.644130067567568,729.4,1103.868888888889
26209,61.0,1,1,0,0,0,17.996601373182553,400.485,1043.6842896174865
4327,24.0,2,0,1,0,0,34.443754746835445,231.0,556.4322147651006
21370,41.0,2,0,1,4,0,63.67143423137876,503.5,4507.823931818181
23001,25.0,2,0,0,3,0,26.82666172445256,403.96,1429.847039337474
20637,42.0,2,0,1,0,0,27.33593945924765,700.0,2146.77687609075
4514,35.0,2,0,1,0,0,16.449533132530117,245.5,1490.555127388535
15379,49.0,2,0,0,0,0,1.0,9000.0,9000.0
21926,48.0,2,0,0,4,0,4.519851895734597,398.25,2850.9508510638298
7389,26.0,2,0,0,0,0,10.340733173076924,20100.0,23364.843018867923
5145,39.0,1,0,0,0,0,4.12005076142132,1300.0,2750.7785
26727,18.0,1,0,0,0,0,7.758419117647059,11400.0,24848.0
10122,37.0,2,0,1,2,1,22.7938375,1100.0,3116.224332344214
21622,43.0,1,0,1,0,0,59.10583104395605,634.0,1274.8339773645916
24851,34.0,1,0,1,0,0,39.33822523584905,652.395,3590.5470316301703
21336,43.0,2,0,0,0,0,1.559384487666034,4200.0,14748.256296296297
26220,33.0,2,0,0,0,0,18.800660545023696,1375.0,3113.0522250639383
2118,51.0,1,0,0,0,0,1.2134302325581394,25900.0,23758.33333333333
16377,41.0,2,0,0,0,0,2.646684782608696,38600.0,30409.090909090908
7272,45.0,2,0,1,0,0,23.16265330188679,393.75,927.764152892562
9662,47.0,1,0,0,0,0,4.109217032967033,1016.545,4091.016860465116
14711,36.0,2,0,0,4,0,12.774600821167883,123.85,1758.2236086956525
5219,44.0,2,0,1,0,0,3.426668046357616,1122.75,6351.073235294118
27260,34.0,2,0,1,0,0,11.020247844827589,481.0,1363.941255411255
23930,34.0,1,0,0,0,0,1.0,5000.0,5000.0
34,32.0,2,0,1,0,1,28.61294241573034,292.88,674.0602788844622
495,58.0,2,0,0,0,0,8.065291798107255,458.2,888.6925595238096
